Date,AQI
2024-01-01,99.0
2024-01-02,121.0
2024-01-03,129.0
2024-01-04,150.0
2024-01-05,99.0
2024-01-06,89.0
2024-01-07,89.0
2024-01-08,76.0
2024-01-09,80.0
2024-01-10,51.0
2024-01-11,62.0
2024-01-12,75.0
2024-01-13,103.0
2024-01-14,90.0
2024-01-15,55.0
2024-01-16,75.0
2024-01-17,86.0
2024-01-18,72.0
2024-01-19,83.0
2024-01-20,77.0
2024-01-21,137.0
2024-01-22,95.0
2024-01-23,79.0
2024-01-24,85.0
2024-01-25,97.0
2024-01-26,106.0
2024-01-27,117.0
2024-01-29,435.0
2024-02-01,91.0
2024-02-02,72.0
2024-02-03,140.0
2024-02-04,136.0
2024-02-05,118.0
2024-02-06,111.0
2024-02-07,97.0
2024-02-08,107.0
2024-02-09,110.0
2024-02-10,99.0
2024-02-13,88.0
2024-02-14,102.0
2024-02-15,112.0
2024-02-16,100.0
2024-04-28,97.0
2024-04-29,104.0
2024-04-30,107.0
2024-05-01,106.0
2024-05-02,92.0
2024-05-03,110.0
2024-05-04,109.0
2024-05-05,90.0
2024-05-06,77.0
2024-05-07,79.0
2024-05-08,65.0
2024-05-09,74.0
2024-05-10,225.0
2024-05-11,212.0
2024-05-12,91.0
2024-05-13,196.0
2024-05-14,190.0
2024-05-15,218.0
2024-05-16,178.0
2024-05-17,241.0
2024-05-18,210.0
2024-05-19,197.0
2024-05-21,161.0
2024-05-22,87.0
2024-05-25,179.0
2024-05-26,84.0
2024-05-27,56.0
2024-05-28,69.0
2024-05-29,61.0
2024-05-30,79.0
2024-05-31,155.0
2024-06-01,72.0
2024-06-02,74.0
2024-06-03,78.0
2024-06-04,86.0
2024-06-05,54.0
2024-06-06,53.0
2024-06-07,50.0
2024-06-08,78.0
2024-06-09,52.0
2024-06-10,77.0
2024-06-11,50.0
2024-06-12,49.0
2024-06-13,50.0
2024-06-14,45.0
2024-06-15,49.0
2024-06-16,60.0
2024-06-17,46.0
2024-06-18,42.0
2024-06-19,47.0
2024-06-20,45.0
2024-06-21,42.0
2024-06-22,57.0
2024-06-23,57.0
2024-06-24,56.0
2024-06-25,64.0
2024-06-26,46.0
2024-06-27,46.0
2024-06-28,43.0
2024-06-29,55.0
2024-06-30,41.0
2024-07-01,42.0
2024-07-02,51.0
2024-07-03,49.0
2024-07-04,41.0
2024-07-05,39.0
2024-07-06,55.0
2024-07-07,47.0
2024-07-08,54.0
2024-07-09,44.0
2024-07-10,43.0
2024-07-11,48.0
2024-07-12,47.0
2024-07-13,55.0
2024-07-14,45.0
2024-07-15,43.0
2024-07-16,46.0
2024-07-17,45.0
2024-07-18,45.0
2024-07-19,46.0
2024-07-20,43.0
2024-07-21,46.0
2024-07-22,40.0
2024-09-12,53.0
2024-09-13,64.0
2024-09-14,59.0
2024-09-15,54.0
2024-09-16,48.0
2024-09-17,64.0
2024-09-18,57.0
2024-09-19,77.0
2024-09-20,88.0
2024-09-21,94.0
2024-09-22,61.0
2024-09-24,60.0
2024-09-26,57.0
2024-09-27,55.0
2024-09-28,50.0
2024-09-29,45.0
2024-09-30,54.0
2024-10-01,63.0
2024-10-02,77.0
2024-10-03,73.0
2024-10-04,77.0
2024-10-05,77.0
2024-10-06,64.0
2024-10-07,89.0
2024-10-08,72.0
2024-10-09,86.0
2024-10-10,66.0
2024-10-11,46.0
2024-10-12,53.0
2024-10-13,53.0
2024-10-14,54.0
2024-10-15,55.0
2024-10-16,55.0
2024-10-17,57.0
2024-10-18,60.0
2024-10-19,57.0
2024-10-20,52.0
2024-10-21,52.0
2024-10-22,49.0
2024-10-23,53.0
2024-10-24,84.0
2024-10-25,108.0
2024-10-26,110.0
2024-10-27,98.0
2024-10-28,102.0
2024-10-29,132.0
2024-10-30,115.0
2024-10-31,103.0
2024-11-01,70.0
2024-11-02,188.0
2024-11-03,139.0
2024-11-04,112.0
2024-11-05,113.0
2024-11-06,123.0
2024-11-07,102.0
2024-11-08,135.0
2024-11-09,130.0
2024-11-10,155.0
2024-11-11,160.0
2024-11-12,215.0
2024-11-14,129.0
2024-11-15,144.0
2024-11-16,145.0
2024-11-17,153.0
2024-11-18,146.0
2024-11-19,122.0
2024-11-20,195.0
2024-11-21,193.0
2024-11-22,216.0
2024-11-23,258.0
2024-11-24,254.0
2024-11-25,259.0
2024-11-26,229.0
2024-11-27,232.0
2024-11-28,223.0
2024-11-29,201.0
2024-11-30,200.0
2024-12-01,227.0
2024-12-02,198.0
2024-12-03,102.0
2024-12-04,78.0
2024-12-05,108.0
2024-12-06,97.0
2024-12-07,91.0
2024-12-08,85.0
2024-12-09,99.0
2024-12-10,115.0
2024-12-12,134.0
2024-12-13,124.0
2024-12-14,139.0
2024-12-15,142.0
2024-12-16,165.0
2024-12-17,139.0
2024-12-18,191.0
2024-12-19,172.0
2024-12-20,182.0
2024-12-21,129.0
2024-12-22,117.0
2024-12-23,89.0
2024-12-24,110.0
2024-12-25,127.0
2024-12-26,121.0
2024-12-27,116.0
2024-12-28,102.0
2024-12-29,115.0
2024-12-30,101.0
2024-12-31,121.0
