Date,AQI
2024-06-11,40.0
2024-06-12,52.0
2024-06-14,48.0
2024-06-15,56.0
2024-06-16,46.0
2024-06-17,41.0
2024-06-18,46.0
2024-06-19,43.0
2024-06-22,48.0
2024-06-24,44.0
2024-06-25,54.0
2024-06-26,46.0
2024-06-27,51.0
2024-06-28,101.0
2024-06-29,53.0
2024-06-30,49.0
2024-07-01,43.0
2024-07-03,73.0
2024-07-04,83.0
2024-07-06,42.0
2024-07-07,34.0
2024-07-11,63.0
2024-07-12,87.0
2024-07-13,48.0
2024-07-14,60.0
2024-07-15,50.0
2024-07-16,50.0
2024-07-17,52.0
2024-07-18,59.0
2024-07-19,52.0
2024-07-20,54.0
2024-07-21,55.0
2024-07-22,42.0
2024-07-23,57.0
2024-07-24,58.0
2024-07-25,115.0
2024-07-26,78.0
2024-07-27,73.0
2024-07-28,66.0
2024-07-29,49.0
2024-07-30,43.0
2024-07-31,42.0
2024-08-01,79.0
2024-08-02,58.0
2024-08-03,43.0
2024-08-04,56.0
2024-08-05,51.0
2024-08-06,47.0
2024-08-07,77.0
2024-08-08,48.0
2024-08-09,56.0
2024-08-10,55.0
2024-08-11,49.0
2024-08-12,49.0
2024-08-13,47.0
2024-08-14,71.0
2024-08-15,65.0
2024-08-16,61.0
2024-08-17,62.0
2024-08-18,59.0
2024-08-19,72.0
2024-08-20,67.0
2024-08-21,65.0
2024-08-22,62.0
2024-08-23,58.0
2024-08-24,49.0
2024-08-25,44.0
2024-08-26,53.0
2024-08-27,50.0
2024-08-28,47.0
2024-08-29,48.0
2024-08-31,64.0
2024-09-01,74.0
2024-09-02,57.0
2024-09-03,62.0
2024-09-04,52.0
2024-09-05,45.0
2024-09-06,41.0
2024-09-07,74.0
2024-09-09,51.0
2024-09-10,55.0
2024-09-11,53.0
2024-09-12,60.0
2024-09-14,65.0
2024-09-15,70.0
2024-09-16,65.0
2024-09-17,57.0
2024-09-18,60.0
2024-09-19,70.0
2024-09-20,75.0
2024-09-21,66.0
2024-09-22,62.0
2024-09-23,60.0
2024-09-24,65.0
2024-09-25,75.0
2024-09-26,72.0
2024-09-27,40.0
2024-09-28,43.0
2024-09-29,67.0
2024-09-30,84.0
2024-10-01,91.0
2024-10-02,89.0
2024-10-03,91.0
2024-10-04,105.0
2024-10-05,58.0
2024-10-06,78.0
2024-10-07,86.0
2024-10-09,100.0
2024-10-10,67.0
2024-10-11,63.0
2024-10-12,56.0
2024-10-13,53.0
2024-10-14,65.0
2024-10-15,66.0
2024-10-16,66.0
2024-10-17,87.0
2024-10-18,68.0
2024-10-22,68.0
2024-10-23,68.0
2024-10-24,104.0
2024-10-25,106.0
2024-10-26,109.0
2024-10-27,94.0
2024-10-28,102.0
2024-10-29,111.0
2024-10-30,116.0
2024-10-31,116.0
2024-11-01,159.0
2024-11-02,174.0
2024-11-03,152.0
2024-11-04,131.0
2024-11-05,148.0
2024-11-06,143.0
2024-11-07,124.0
2024-11-08,152.0
2024-11-09,225.0
2024-11-10,184.0
2024-11-11,215.0
2024-11-12,190.0
2024-11-13,174.0
2024-11-14,168.0
2024-11-16,166.0
2024-11-17,169.0
2024-11-18,144.0
2024-11-19,230.0
2024-11-20,194.0
2024-11-21,252.0
2024-11-22,238.0
2024-11-23,292.0
2024-11-24,244.0
2024-11-25,237.0
2024-11-26,191.0
2024-11-27,172.0
2024-11-28,225.0
2024-11-29,221.0
2024-11-30,256.0
2024-12-01,264.0
2024-12-02,255.0
2024-12-03,158.0
2024-12-04,138.0
2024-12-05,182.0
2024-12-06,162.0
2024-12-07,105.0
2024-12-08,125.0
2024-12-09,152.0
2024-12-10,122.0
2024-12-11,233.0
2024-12-12,199.0
2024-12-13,231.0
2024-12-14,248.0
2024-12-15,227.0
2024-12-16,278.0
2024-12-17,313.0
2024-12-18,311.0
2024-12-19,306.0
2024-12-20,158.0
2024-12-21,164.0
2024-12-22,130.0
2024-12-23,109.0
2024-12-24,126.0
2024-12-25,155.0
2024-12-26,142.0
2024-12-27,141.0
2024-12-28,130.0
2024-12-29,120.0
2024-12-30,105.0
2024-12-31,133.0
