16,115,154,113,97,127,39,34,44,42,69,190,135
17,123.0,205.0,121.0,106.0,110.0,38.0,33.0,38.0,47.0,110.0,239.0,155.0
18,85.0,260.0,117.0,80.0,108.0,37.0,32.0,60.0,47.0,81.0,203.0,197.0
19,122.0,107.0,119.0,87.0,102.0,33.0,32.0,47.0,64.0,73.0,192.0,213.0
20,113.0,98.0,102.0,154.0,154.0,37.0,32.0,53.0,71.0,40.0,237.0,203.0
21,186.0,78.0,138.0,120.0,89.0,34.0,33.0,55.0,70.0,45.0,252.0,280.0
22,145.0,96.0,238.0,107.0,82.0,36.0,32.0,91.0,64.0,78.0,282.0,92.0
23,106.0,204.0,268.0,146.0,,43.0,32.0,46.0,85.0,67.0,300.0,67.0
24,152.0,157.0,196.0,98.0,,37.0,18.0,25.0,60.0,127.0,293.0,96.0
25,212.0,170.0,173.0,95.0,66.0,33.0,24.0,17.0,65.0,146.0,274.0,107.0
26,234.0,168.0,188.0,154.0,63.0,32.0,27.0,28.0,33.0,120.0,217.0,116.0
27,183.0,224.0,173.0,96.0,63.0,32.0,27.0,25.0,28.0,107.0,222.0,123.0
28,260.0,124.0,160.0,106.0,57.0,32.0,37.0,23.0,25.0,119.0,184.0,98.0
29,243.0,130.0,184.0,111.0,56.0,33.0,31.0,32.0,28.0,157.0,126.0,111.0
30,301.0,,103.0,126.0,60.0,39.0,23.0,34.0,38.0,159.0,267.0,90.0
31,168.0,,150.0,,57.0,,24.0,29.0,,119.0,,121.0
 ,,,,,,,,,,,,
Good,,,,,,22.0,29.0,27.0,22.0,3.0,,
Satisfactory,2.0,5.0,5.0,10.0,17.0,8.0,,4.0,8.0,15.0,,9.0
Moderate,15.0,16.0,23.0,18.0,11.0,,,,,13.0,9.0,17.0
Poor,10.0,8.0,3.0,2.0,1.0,,,,,,21.0,5.0
Very poor,1.0,,,,,,1.0,,,,,
Severe,,,,,,,,,,,,
,3.0,,,,2.0,,1.0,,,,,
SP,,,,,,,,,,,,
% of Availability,90.0,100.0,100.0,100.0,93.0,100.0,96.0,100.0,100.0,100.0,100.0,100.0
