Date,AQI
2024-05-22,154.0
2024-05-23,83.0
2024-05-24,89.0
2024-05-25,110.0
2024-05-26,224.0
2024-05-27,144.0
2024-05-28,130.0
2024-05-29,86.0
2024-05-30,90.0
2024-05-31,101.0
2024-06-01,96.0
2024-06-02,70.0
2024-06-03,74.0
2024-06-04,71.0
2024-06-05,65.0
2024-06-06,64.0
2024-06-07,58.0
2024-06-08,71.0
2024-06-09,70.0
2024-06-10,54.0
2024-06-13,49.0
2024-06-14,85.0
2024-06-15,81.0
2024-06-16,49.0
2024-06-17,56.0
2024-06-18,70.0
2024-06-19,75.0
2024-06-20,87.0
2024-06-21,88.0
2024-06-22,91.0
2024-06-23,73.0
2024-06-24,52.0
2024-06-25,64.0
2024-06-26,68.0
2024-06-27,86.0
2024-06-28,94.0
2024-06-29,92.0
2024-07-06,97.0
2024-07-07,47.0
2024-07-08,57.0
2024-07-09,57.0
2024-07-10,59.0
2024-07-11,64.0
2024-07-12,63.0
2024-07-13,64.0
2024-07-14,47.0
2024-07-15,64.0
2024-07-16,57.0
2024-07-17,62.0
2024-07-18,88.0
2024-07-19,85.0
2024-07-20,80.0
2024-07-21,60.0
2024-07-22,92.0
2024-07-23,80.0
2024-07-24,60.0
2024-07-25,106.0
2024-07-26,40.0
2024-07-27,43.0
2024-07-28,43.0
2024-07-29,69.0
2024-07-30,73.0
2024-10-08,39.0
2024-10-09,70.0
2024-10-24,78.0
2024-10-31,111.0
2024-11-01,95.0
2024-11-02,281.0
2024-11-03,172.0
2024-11-04,126.0
2024-11-05,123.0
2024-11-07,111.0
2024-11-08,130.0
2024-11-09,127.0
2024-11-10,130.0
2024-11-11,135.0
2024-11-12,124.0
2024-11-13,133.0
2024-11-14,115.0
2024-11-15,115.0
2024-11-16,131.0
2024-11-17,117.0
2024-11-23,159.0
2024-11-24,176.0
2024-11-25,150.0
2024-11-26,134.0
2024-11-27,121.0
2024-12-07,89.0
2024-12-08,92.0
2024-12-09,96.0
2024-12-10,94.0
2024-12-11,121.0
2024-12-14,112.0
2024-12-15,127.0
2024-12-16,152.0
2024-12-17,208.0
2024-12-18,172.0
2024-12-19,182.0
2024-12-29,60.0
2024-12-30,60.0
2024-12-31,60.0
