16,Unnamed: 1,129,115,NA,73,27,28,60,64,53,101,136
17,100.0,128.0,107.0,112.0,80.0,42.0,27.0,65.0,66.0,,123.0,140.0
18,109.0,,108.0,120.0,75.0,41.0,22.0,59.0,86.0,,114.0,120.0
19,114.0,,111.0,99.0,100.0,31.0,22.0,59.0,98.0,,123.0,117.0
20,126.0,68.0,126.0,155.0,68.0,27.0,30.0,54.0,,28.0,137.0,63.0
21,130.0,96.0,127.0,103.0,92.0,23.0,,55.0,,27.0,137.0,108.0
22,128.0,121.0,108.0,104.0,82.0,47.0,18.0,46.0,72.0,48.0,127.0,54.0
23,121.0,113.0,109.0,99.0,66.0,53.0,22.0,,48.0,97.0,149.0,
24,136.0,122.0,121.0,137.0,87.0,24.0,18.0,,38.0,319.0,135.0,
25,138.0,119.0,133.0,95.0,85.0,,11.0,42.0,26.0,93.0,168.0,
26,145.0,131.0,146.0,91.0,60.0,,42.0,51.0,17.0,79.0,109.0,
27,143.0,125.0,116.0,121.0,62.0,,48.0,18.0,18.0,73.0,137.0,
28,118.0,,123.0,106.0,79.0,,36.0,20.0,48.0,86.0,73.0,117.0
29,118.0,141.0,134.0,138.0,70.0,,26.0,45.0,74.0,97.0,110.0,130.0
30,128.0,,136.0,121.0,72.0,,30.0,45.0,81.0,106.0,182.0,53.0
31,129.0,,116.0,,91.0,,29.0,37.0,,,,
 ,,,,,,,,,,,,
Good,,,,,,13.0,24.0,13.0,15.0,7.0,,
Satisfactory,5.0,2.0,3.0,4.0,26.0,6.0,1.0,12.0,11.0,16.0,4.0,9.0
Moderate,24.0,23.0,25.0,24.0,3.0,1.0,,,1.0,3.0,24.0,16.0
Poor,,,1.0,,1.0,,,,,,1.0,
Very poor,1.0,,1.0,,,,,,,1.0,,
Severe,,,,,,,,,,,,
,1.0,4.0,1.0,2.0,1.0,10.0,6.0,6.0,3.0,4.0,1.0,6.0
SP,,,,,,,,,,,,
% of Availability,96.0,86.0,96.0,93.0,96.0,66.0,80.0,80.0,90.0,87.0,96.0,80.0
