Date,AQI
2024-01-01,105.0
2024-01-02,110.0
2024-01-03,115.0
2024-01-04,114.0
2024-01-05,138.0
2024-01-06,133.0
2024-01-07,120.0
2024-01-08,74.0
2024-01-09,75.0
2024-01-10,59.0
2024-01-11,100.0
2024-01-12,105.0
2024-01-13,126.0
2024-01-16,83.0
2024-01-17,71.0
2024-01-18,61.0
2024-01-19,87.0
2024-01-20,70.0
2024-01-21,94.0
2024-01-22,91.0
2024-01-23,73.0
2024-01-24,118.0
2024-01-25,103.0
2024-01-26,118.0
2024-01-27,123.0
2024-01-28,123.0
2024-01-29,106.0
2024-01-30,123.0
2024-01-31,100.0
2024-02-01,82.0
2024-02-02,79.0
2024-02-03,116.0
2024-02-04,131.0
2024-02-05,101.0
2024-02-06,125.0
2024-02-07,123.0
2024-02-08,106.0
2024-02-09,152.0
2024-02-11,105.0
2024-02-12,99.0
2024-02-14,110.0
2024-02-15,127.0
2024-02-16,117.0
2024-02-17,107.0
2024-02-18,103.0
2024-02-19,60.0
2024-02-20,84.0
2024-02-21,63.0
2024-02-22,60.0
2024-02-23,86.0
2024-02-25,104.0
2024-02-26,120.0
2024-02-27,106.0
2024-02-28,101.0
2024-02-29,92.0
2024-03-01,87.0
2024-03-02,65.0
2024-03-03,43.0
2024-03-04,60.0
2024-03-05,102.0
2024-03-06,95.0
2024-03-08,106.0
2024-03-09,101.0
2024-03-10,105.0
2024-03-11,90.0
2024-03-13,88.0
2024-03-14,93.0
2024-03-15,99.0
2024-03-16,100.0
2024-03-17,91.0
2024-03-18,66.0
2024-03-19,78.0
2024-03-20,107.0
2024-03-21,111.0
2024-03-22,89.0
2024-03-23,87.0
2024-03-27,81.0
2024-03-28,85.0
2024-03-29,77.0
2024-04-01,81.0
2024-04-02,88.0
2024-04-03,86.0
2024-04-04,95.0
2024-04-05,91.0
2024-04-06,102.0
2024-04-07,85.0
2024-04-08,65.0
2024-04-09,74.0
2024-04-10,85.0
2024-04-14,60.0
2024-04-16,85.0
2024-04-18,68.0
2024-04-19,68.0
2024-04-20,68.0
2024-04-21,59.0
2024-04-23,82.0
2024-04-24,78.0
2024-04-25,73.0
2024-04-26,65.0
2024-04-27,80.0
2024-04-28,100.0
2024-04-29,92.0
2024-04-30,88.0
2024-05-01,73.0
2024-05-02,62.0
2024-05-03,73.0
2024-05-04,83.0
2024-05-05,76.0
2024-05-06,46.0
2024-05-07,48.0
2024-05-08,56.0
2024-05-09,54.0
2024-05-10,58.0
2024-05-11,61.0
2024-05-12,50.0
2024-05-13,74.0
2024-05-14,52.0
2024-06-27,38.0
2024-06-28,36.0
2024-06-29,32.0
2024-06-30,33.0
2024-07-01,30.0
2024-07-03,38.0
2024-07-05,36.0
2024-07-06,39.0
2024-07-07,33.0
2024-07-08,38.0
2024-07-10,132.0
2024-07-11,32.0
2024-07-12,30.0
2024-07-14,65.0
2024-07-15,50.0
2024-07-17,50.0
2024-07-18,49.0
2024-07-19,50.0
2024-07-20,50.0
2024-07-23,49.0
2024-07-24,50.0
2024-07-25,50.0
2024-07-30,50.0
2024-07-31,50.0
2024-08-01,50.0
2024-08-02,50.0
2024-08-03,50.0
2024-08-04,49.0
2024-08-05,50.0
2024-08-06,50.0
2024-08-07,50.0
2024-08-08,50.0
2024-08-09,49.0
2024-08-10,50.0
2024-08-11,51.0
2024-08-12,49.0
2024-08-13,55.0
2024-08-14,46.0
2024-08-15,46.0
2024-08-16,46.0
2024-08-17,46.0
2024-08-18,46.0
2024-08-19,46.0
2024-08-20,46.0
2024-08-21,46.0
2024-08-22,46.0
2024-08-23,46.0
2024-08-24,46.0
2024-08-25,46.0
2024-08-28,46.0
2024-08-30,46.0
2024-08-31,56.0
2024-09-01,50.0
2024-09-02,55.0
2024-09-03,49.0
2024-09-06,41.0
2024-09-07,39.0
2024-09-08,35.0
2024-09-09,42.0
2024-09-10,36.0
2024-09-11,36.0
2024-09-12,31.0
2024-09-13,43.0
2024-09-14,44.0
2024-09-15,39.0
2024-09-16,42.0
2024-09-17,57.0
2024-09-18,53.0
2024-09-19,69.0
2024-09-30,65.0
2024-10-01,62.0
2024-10-08,92.0
2024-10-11,39.0
2024-10-12,50.0
2024-10-13,60.0
2024-10-14,42.0
2024-10-15,41.0
2024-10-17,55.0
2024-10-20,52.0
2024-10-21,50.0
2024-10-22,64.0
2024-10-23,62.0
2024-10-24,120.0
2024-10-25,202.0
2024-10-26,171.0
2024-10-27,162.0
2024-10-28,159.0
2024-10-29,202.0
2024-10-30,256.0
2024-10-31,169.0
2024-11-01,165.0
2024-11-06,183.0
2024-11-07,177.0
2024-11-08,199.0
2024-11-09,112.0
2024-11-10,107.0
2024-11-11,113.0
2024-11-12,150.0
2024-11-13,106.0
2024-11-14,105.0
2024-11-15,212.0
2024-11-17,226.0
2024-11-18,198.0
2024-11-19,234.0
2024-11-20,147.0
2024-11-21,237.0
2024-11-22,264.0
2024-11-23,177.0
2024-11-24,186.0
2024-11-25,166.0
2024-11-26,158.0
2024-11-28,111.0
2024-11-29,84.0
2024-11-30,134.0
2024-12-01,157.0
2024-12-02,125.0
2024-12-03,80.0
2024-12-04,53.0
2024-12-05,74.0
2024-12-07,94.0
2024-12-08,82.0
2024-12-09,93.0
2024-12-10,132.0
2024-12-11,194.0
2024-12-12,197.0
2024-12-14,132.0
2024-12-15,124.0
2024-12-16,144.0
2024-12-17,192.0
2024-12-18,190.0
2024-12-19,179.0
2024-12-20,118.0
2024-12-21,128.0
2024-12-22,89.0
2024-12-23,87.0
2024-12-24,101.0
2024-12-25,115.0
2024-12-26,113.0
2024-12-27,105.0
2024-12-28,62.0
2024-12-29,116.0
2024-12-30,107.0
2024-12-31,109.0
