Date,AQI
2024-07-19,34.0
2024-07-20,71.0
2024-07-21,55.0
2024-07-22,49.0
2024-07-23,92.0
2024-07-24,85.0
2024-07-25,64.0
2024-07-26,59.0
2024-07-30,59.0
2024-08-04,22.0
2024-08-05,24.0
2024-08-06,25.0
2024-08-07,21.0
2024-08-08,26.0
2024-08-09,21.0
2024-08-10,21.0
2024-08-11,24.0
2024-08-12,22.0
2024-08-13,30.0
2024-08-17,54.0
2024-08-18,57.0
2024-08-19,73.0
2024-08-20,51.0
2024-08-21,82.0
2024-08-22,94.0
2024-08-23,60.0
2024-08-24,39.0
2024-08-25,40.0
2024-08-26,52.0
2024-08-27,102.0
2024-08-28,103.0
2024-08-29,99.0
2024-08-31,84.0
2024-09-01,95.0
2024-09-02,72.0
2024-09-03,31.0
2024-09-04,32.0
2024-09-05,23.0
2024-09-06,26.0
2024-09-07,28.0
2024-09-09,34.0
2024-09-10,39.0
2024-09-11,38.0
2024-09-12,33.0
2024-09-14,31.0
2024-09-15,22.0
2024-09-16,27.0
2024-09-17,33.0
2024-09-18,37.0
2024-09-19,52.0
2024-09-20,81.0
2024-09-21,70.0
2024-09-22,48.0
2024-09-23,83.0
2024-09-24,59.0
2024-09-25,55.0
2024-09-26,52.0
2024-09-27,37.0
2024-09-28,38.0
2024-09-29,32.0
2024-09-30,74.0
2024-10-01,86.0
2024-10-09,72.0
2024-10-10,50.0
2024-10-11,62.0
2024-10-12,61.0
2024-10-13,68.0
2024-10-14,79.0
2024-10-15,52.0
2024-10-16,47.0
2024-10-17,40.0
2024-11-01,78.0
2024-11-02,196.0
2024-11-03,85.0
2024-11-04,86.0
2024-11-05,86.0
2024-11-06,152.0
2024-11-07,71.0
2024-11-08,91.0
2024-11-09,94.0
2024-11-10,91.0
2024-11-11,103.0
2024-11-12,108.0
2024-11-13,90.0
2024-11-14,87.0
2024-11-16,97.0
2024-11-27,95.0
2024-11-28,99.0
2024-11-29,87.0
2024-11-30,112.0
2024-12-01,133.0
2024-12-02,158.0
2024-12-03,121.0
2024-12-04,65.0
2024-12-05,70.0
2024-12-06,54.0
2024-12-07,46.0
2024-12-08,40.0
2024-12-09,87.0
2024-12-10,62.0
2024-12-11,84.0
2024-12-12,82.0
2024-12-13,83.0
2024-12-14,84.0
2024-12-15,89.0
2024-12-16,91.0
2024-12-17,87.0
2024-12-18,107.0
2024-12-19,107.0
2024-12-20,75.0
2024-12-21,101.0
2024-12-22,85.0
2024-12-23,72.0
2024-12-24,82.0
2024-12-25,103.0
2024-12-26,94.0
2024-12-27,76.0
2024-12-28,49.0
2024-12-29,80.0
2024-12-30,67.0
2024-12-31,66.0
