Date,AQI
2024-01-01,180.0
2024-01-02,152.0
2024-01-03,204.0
2024-01-04,191.0
2024-01-05,164.0
2024-01-06,129.0
2024-01-07,148.0
2024-01-08,202.0
2024-01-09,201.0
2024-01-11,152.0
2024-01-12,230.0
2024-01-13,202.0
2024-01-14,154.0
2024-01-15,81.0
2024-01-16,104.0
2024-01-17,113.0
2024-01-18,94.0
2024-01-19,110.0
2024-01-20,114.0
2024-01-21,155.0
2024-01-22,150.0
2024-01-23,110.0
2024-01-24,193.0
2024-01-25,240.0
2024-01-26,260.0
2024-01-27,225.0
2024-01-28,223.0
2024-01-29,178.0
2024-01-30,180.0
2024-02-01,116.0
2024-02-02,125.0
2024-02-03,218.0
2024-02-04,230.0
2024-02-05,133.0
2024-02-06,208.0
2024-02-07,206.0
2024-02-08,223.0
2024-02-10,195.0
2024-02-11,188.0
2024-02-12,162.0
2024-02-13,172.0
2024-02-14,194.0
2024-02-15,223.0
2024-02-16,207.0
2024-02-17,207.0
2024-02-18,175.0
2024-02-19,149.0
2024-02-20,120.0
2024-02-21,106.0
2024-02-22,93.0
2024-02-23,171.0
2024-02-24,154.0
2024-02-25,187.0
2024-02-26,216.0
2024-02-27,161.0
2024-02-28,171.0
2024-02-29,173.0
2024-03-01,140.0
2024-03-02,106.0
2024-03-03,87.0
2024-03-04,85.0
2024-03-05,153.0
2024-03-06,134.0
2024-03-07,165.0
2024-03-08,192.0
2024-03-09,158.0
2024-03-10,156.0
2024-03-11,150.0
2024-03-12,189.0
2024-03-13,130.0
2024-03-14,136.0
2024-03-15,169.0
2024-03-16,153.0
2024-03-17,144.0
2024-03-18,114.0
2024-03-20,162.0
2024-03-21,227.0
2024-03-22,171.0
2024-03-23,114.0
2024-03-24,121.0
2024-03-25,112.0
2024-03-26,104.0
2024-03-27,106.0
2024-03-28,106.0
2024-03-29,103.0
2024-03-30,124.0
2024-03-31,169.0
2024-04-01,272.0
2024-04-02,287.0
2024-04-04,248.0
2024-04-05,271.0
2024-04-06,275.0
2024-04-07,278.0
2024-04-08,267.0
2024-04-09,148.0
