16,Unnamed: 1,155,114,185,NA,45,42,60,50,63,NA.1,105
17,92.0,175.0,148.0,121.0,217.0,82.0,38.0,56.0,46.0,63.0,224.0,125.0
18,81.0,267.0,146.0,98.0,204.0,64.0,27.0,,53.0,50.0,198.0,125.0
19,96.0,126.0,143.0,,185.0,48.0,28.0,,66.0,51.0,200.0,127.0
20,88.0,86.0,187.0,97.0,,52.0,29.0,51.0,73.0,36.0,258.0,106.0
21,119.0,75.0,221.0,,159.0,77.0,30.0,48.0,83.0,37.0,193.0,86.0
22,121.0,81.0,308.0,,206.0,60.0,34.0,58.0,65.0,56.0,212.0,128.0
23,196.0,178.0,305.0,,,66.0,32.0,39.0,94.0,49.0,244.0,
24,184.0,180.0,266.0,,,42.0,36.0,22.0,93.0,97.0,226.0,113.0
25,172.0,199.0,213.0,,72.0,36.0,28.0,19.0,70.0,134.0,280.0,197.0
26,195.0,186.0,270.0,,75.0,33.0,30.0,23.0,36.0,116.0,128.0,169.0
27,183.0,245.0,281.0,,77.0,46.0,48.0,20.0,29.0,104.0,131.0,74.0
28,266.0,113.0,214.0,160.0,79.0,70.0,60.0,24.0,30.0,115.0,215.0,65.0
29,302.0,109.0,266.0,160.0,75.0,57.0,47.0,41.0,37.0,127.0,201.0,92.0
30,278.0,,234.0,135.0,80.0,63.0,21.0,48.0,43.0,130.0,300.0,71.0
31,122.0,,208.0,,69.0,,31.0,38.0,,132.0,,84.0
 ,,,,,,,,,,,,
Good,,,,,,10.0,21.0,22.0,19.0,6.0,,
Satisfactory,5.0,3.0,3.0,2.0,12.0,17.0,10.0,6.0,10.0,10.0,,8.0
Moderate,15.0,18.0,15.0,15.0,6.0,2.0,,,,9.0,13.0,17.0
Poor,6.0,6.0,11.0,5.0,4.0,,,,,,16.0,2.0
Very poor,1.0,,2.0,,,,,,,,,1.0
Severe,,,,,,,,,,,,
,4.0,2.0,,8.0,9.0,1.0,,3.0,1.0,6.0,1.0,3.0
SP,,,,,,,,,,,,
% of Availability,87.0,93.0,100.0,73.0,70.0,96.0,100.0,90.0,96.0,80.0,96.0,90.0
