Date,AQI
2024-01-01,137.0
2024-01-02,147.0
2024-01-03,158.0
2024-01-04,172.0
2024-01-05,140.0
2024-01-06,129.0
2024-01-07,102.0
2024-01-08,89.0
2024-01-09,137.0
2024-01-10,83.0
2024-01-11,112.0
2024-01-12,129.0
2024-01-13,140.0
2024-01-14,113.0
2024-01-15,49.0
2024-01-16,84.0
2024-01-17,159.0
2024-01-18,86.0
2024-01-19,126.0
2024-01-20,101.0
2024-01-21,134.0
2024-01-22,120.0
2024-01-23,97.0
2024-01-24,111.0
2024-01-26,166.0
2024-01-27,149.0
2024-01-28,232.0
2024-01-29,140.0
2024-01-30,126.0
2024-01-31,140.0
2024-02-01,100.0
2024-02-02,92.0
2024-02-03,141.0
2024-02-04,141.0
2024-02-05,164.0
2024-02-06,179.0
2024-02-07,118.0
2024-02-08,119.0
2024-02-09,130.0
2024-02-10,134.0
2024-02-12,167.0
2024-02-13,130.0
2024-02-14,141.0
2024-02-15,113.0
2024-02-16,93.0
2024-02-17,91.0
2024-02-18,93.0
2024-02-19,97.0
2024-02-20,62.0
2024-02-21,59.0
2024-02-22,53.0
2024-02-23,64.0
2024-02-24,80.0
2024-02-25,94.0
2024-02-26,111.0
2024-02-27,108.0
2024-02-28,86.0
2024-02-29,100.0
2024-03-01,93.0
2024-03-02,75.0
2024-03-03,53.0
2024-03-04,54.0
2024-03-05,89.0
2024-03-06,84.0
2024-03-07,96.0
2024-03-08,91.0
2024-03-09,84.0
2024-03-10,88.0
2024-03-11,92.0
2024-03-12,93.0
2024-03-13,73.0
2024-03-14,78.0
2024-03-15,77.0
2024-03-16,80.0
2024-03-17,85.0
2024-03-18,64.0
2024-03-19,76.0
2024-03-20,89.0
2024-03-21,94.0
2024-03-22,101.0
2024-03-23,95.0
2024-03-24,82.0
2024-03-25,82.0
2024-03-26,82.0
2024-03-27,79.0
2024-03-28,76.0
2024-03-29,52.0
2024-03-30,89.0
2024-03-31,77.0
2024-04-01,67.0
2024-04-02,75.0
2024-04-03,74.0
2024-04-04,73.0
2024-04-05,75.0
2024-04-06,67.0
2024-04-07,60.0
2024-04-08,55.0
2024-04-09,63.0
2024-04-10,77.0
2024-04-11,73.0
2024-04-12,79.0
2024-04-13,60.0
2024-04-14,57.0
2024-04-15,71.0
2024-04-16,88.0
2024-04-17,98.0
2024-04-19,82.0
2024-04-20,69.0
2024-04-21,70.0
2024-04-22,65.0
2024-04-23,71.0
2024-04-24,73.0
2024-04-26,64.0
2024-04-27,80.0
2024-04-28,83.0
2024-04-29,84.0
2024-04-30,87.0
2024-05-01,88.0
2024-05-02,88.0
2024-05-03,88.0
2024-05-04,84.0
2024-05-05,83.0
2024-05-06,68.0
2024-05-07,66.0
2024-05-08,75.0
2024-05-09,83.0
2024-05-10,86.0
2024-05-11,89.0
2024-05-12,68.0
2024-05-13,86.0
2024-05-14,57.0
2024-05-15,73.0
2024-05-16,69.0
2024-05-17,68.0
2024-05-18,76.0
2024-05-19,82.0
2024-05-20,80.0
2024-05-21,73.0
2024-05-22,84.0
2024-05-25,81.0
2024-05-29,70.0
2024-05-30,84.0
2024-05-31,62.0
2024-06-01,70.0
2024-06-14,28.0
2024-06-15,31.0
2024-06-16,31.0
2024-06-17,47.0
2024-06-18,46.0
2024-06-19,31.0
2024-06-20,36.0
2024-06-21,46.0
2024-06-22,55.0
2024-06-23,57.0
2024-06-24,47.0
2024-06-25,42.0
2024-06-26,32.0
2024-06-28,35.0
2024-06-29,47.0
2024-06-30,55.0
2024-07-01,55.0
2024-07-02,41.0
2024-07-03,49.0
2024-07-04,56.0
2024-07-05,40.0
2024-07-06,59.0
2024-07-07,48.0
2024-07-08,48.0
2024-07-09,45.0
2024-07-12,47.0
2024-07-13,44.0
2024-07-14,30.0
2024-07-15,39.0
2024-07-16,50.0
2024-07-17,50.0
2024-07-18,37.0
2024-07-19,42.0
2024-07-20,49.0
2024-07-21,39.0
2024-07-22,40.0
2024-07-31,51.0
2024-08-01,48.0
2024-08-02,51.0
2024-08-03,54.0
2024-08-04,59.0
2024-08-10,58.0
2024-08-11,44.0
2024-08-13,53.0
2024-08-14,57.0
2024-08-15,62.0
2024-08-16,62.0
2024-08-17,61.0
2024-08-20,60.0
2024-08-22,64.0
2024-08-23,41.0
2024-08-24,55.0
2024-08-25,42.0
2024-08-26,48.0
2024-08-27,42.0
2024-08-28,43.0
2024-08-29,42.0
2024-08-30,45.0
2024-08-31,50.0
2024-09-01,56.0
2024-09-20,79.0
2024-09-21,76.0
2024-09-22,71.0
2024-09-24,53.0
2024-09-25,46.0
2024-09-26,46.0
2024-09-27,47.0
2024-09-28,47.0
2024-09-29,46.0
2024-09-30,44.0
2024-10-01,62.0
2024-10-02,84.0
2024-10-03,82.0
2024-10-04,54.0
2024-10-05,55.0
2024-10-06,73.0
2024-10-07,120.0
2024-10-08,122.0
2024-10-09,118.0
2024-10-10,99.0
2024-10-14,43.0
2024-10-15,61.0
2024-10-16,66.0
2024-10-17,75.0
2024-10-18,75.0
2024-10-19,60.0
2024-10-20,47.0
2024-10-21,48.0
2024-10-22,79.0
2024-10-23,55.0
2024-10-24,112.0
2024-10-25,114.0
2024-10-26,107.0
2024-10-27,106.0
2024-10-28,117.0
2024-10-29,126.0
2024-10-30,124.0
2024-10-31,120.0
2024-11-01,105.0
2024-11-02,127.0
2024-11-03,129.0
2024-11-06,144.0
2024-11-07,161.0
2024-11-08,231.0
2024-11-09,113.0
2024-11-10,131.0
2024-11-11,170.0
2024-11-14,159.0
2024-11-15,155.0
2024-11-16,114.0
2024-11-17,139.0
2024-11-18,104.0
2024-11-26,189.0
2024-11-27,177.0
2024-11-28,181.0
2024-11-29,154.0
2024-11-30,177.0
2024-12-01,199.0
2024-12-05,135.0
2024-12-06,161.0
2024-12-07,80.0
2024-12-08,76.0
2024-12-09,106.0
2024-12-14,137.0
2024-12-15,155.0
2024-12-16,150.0
2024-12-17,153.0
2024-12-18,198.0
2024-12-19,194.0
2024-12-20,128.0
2024-12-21,141.0
2024-12-22,101.0
2024-12-23,83.0
2024-12-24,106.0
2024-12-25,137.0
2024-12-26,134.0
2024-12-27,117.0
2024-12-28,125.0
2024-12-29,105.0
2024-12-30,97.0
